"filename", "language", "PHP", "comment", "blank", "total"
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-qr-codes.php", "PHP", 70, 14, 9, 93
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-insite-redsys.php", "PHP", 13, 2, 2, 17
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-paygold-redsys.php", "PHP", 11, 0, 0, 11
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-preauthotizations-redsys.php", "PHP", -6191, -419, -411, -7021
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys-global.php", "PHP", 54, 18, 7, 79
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-redsys.php", "PHP", 27, 7, -4, 30
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-redsys-profile.php", "PHP", 3, 0, 1, 4
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/metabox/metaboxes.php", "PHP", 105, 19, 9, 133
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/notices/notices.php", "PHP", -10, -3, -3, -16
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/private-products.php", "PHP", 7, 7, 1, 15
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/woocommerce-gateway-redsys.php", "PHP", -29, -1, -3, -33
"Total", "-", -5940, -356, -392, -6688